抖音主播,服装/纺织/皮革,美妙商贸（苏州）有限公司,中技/中专,8千-1万,1年,常熟
面包烘焙师,快速消费品(食品、饮料、化妆品),河北石门鲜坊食品有限公司,高中,4-8千,2年,石家庄
新能源汽车销售顾问,通信/电信/网络设备,黄石天诚信息科技有限责任公司,大专,5千-1万,1年,黄石
周大生珠宝销售导购,奢侈品/收藏品/工艺品/珠宝,武汉市东湖新技术开发区大生珠宝店,,5千-1万·13薪,2年,武汉
电话销售-企业微信授权代表,检测，认证,保定融沃企业管理咨询有限公司,中技/中专,8千-1.6万,无需经验,保定
电话客服专员,医疗设备/器械,四川精晶科技发展有限责任公司,大专,3.5-7千,无需经验,成都
运营助理,互联网/电子商务,厦门鸿瑞鑫盛电子商务有限公司,大专,5-8千,无需经验,厦门
奔驰销售顾问-永康利之星,汽车,永康利之星汽车销售服务有限公司,大专,8千-1.6万,1年,金华
商务司机,机械/设备/重工,九江消防装备有限公司,高中,5-6千,3-4年,九江
贝壳找房大平台招聘置业顾问,中介服务,宜宾念正美营销策划有限公司,中技/中专,5千-1万,2年,宜宾
总经理秘书,贸易/进出口,佛山市南海区林品贸易咨询有限公司,本科,6-8千,2年,佛山
喷粉技工,原材料和加工,宁德聚能动力电源系统技术有限公司,,7千-1万,2年,宁德
外贸助理,服装/纺织/皮革,常州缯彩纺织品有限公司,大专,4.5-7千,5-7年,常州
贝壳找房大平台&房产销售,中介服务,宜宾念正美营销策划有限公司,中技/中专,4-8千,1年,宜宾
产品工程师+五险一金+双休,电子技术/半导体/集成电路,新美亚电路( 无锡) 有限公司,本科,8千-1.5万·13薪,5-7年,无锡
副总裁助理,制药/生物工程,丽珠医药集团股份有限公司,本科,1.5-2万,3-4年,深圳
OA系统工程师,机械/设备/重工,锐奇控股股份有限公司,大专,8千-1.2万,3-4年,上海
外贸业务跟单主管,服装/纺织/皮革,广州可妮服饰有限公司,大专,9千-1.4万,3-4年,广州
物业管家,物业管理/商业中心,西安锦江物业服务有限公司,高中,2.6-4.5千·13薪,无需经验,咸阳
精神学术经理,制药/生物工程,丽珠医药集团股份有限公司,本科,20-30万/年,3-4年,北京
叉车司机,交通/运输/物流,广州能创物流有限公司,高中,5.5-8千,2年,广州
法务主管,物业管理/商业中心,上海东津投资发展有限公司,本科,1.5-2万·13薪,5-7年,上海
软件工程师（换电柜产品）,通信/电信/网络设备,广东通宇通讯股份有限公司,硕士,1.5-2.2万·14薪,3-4年,中山
抖音运营,服装/纺织/皮革,上海蔓秋服饰有限公司,大专,6千-1万,2年,上海
产品文案策划,快速消费品(食品、饮料、化妆品),广州市卓多姿化妆品有限公司,大专,3-6千,2年,广州
留学申请顾问,专业服务(咨询、人力资源、财会),北京新东方前途出国咨询有限公司合肥分公司,本科,5-8千,2年,合肥
法医临床鉴定人,检测，认证,四川中信司法鉴定中心,本科,4.5-6千,5-7年,成都
机电安装总监,房地产,南京德盈龙华置业有限公司,大专,2-2.5万,10年以上,南京
化妆品备案专员,快速消费品(食品、饮料、化妆品),广州市卓多姿化妆品有限公司,大专,4-5.5千,2年,广州
客服文员,生活服务,广东中科沉香科技有限公司,中技/中专,3.5-4千,1年,东莞
QA/QS/验货员/技师(安全鞋）,贸易/进出口,东莞葛天那鞋袋制造有限公司,中技/中专,1-2万,10年以上,东莞
售前技术支持工程师,电气/电力/水利,河南四达电力设备股份有限公司,本科,4-6千,1年,许昌
市场主管,教育/培训/院校,深圳市南山区道新学校,大专,20-25万/年,1年,深圳
焊接工程师,汽车,上海敏孚汽车饰件有限公司,大专,1.2-1.8万,5-7年,上海
ME技术员,电子技术/半导体/集成电路,深圳市杉川机器人有限公司,中技/中专,6-8千,1年,深圳
安环主管,建筑/建材/工程,浙江诺盾消防科技有限公司,大专,8千-1.2万,3-4年,绍兴
激光切割机技术工程师,机械/设备/重工,苏州海奕激光科技有限公司,大专,7-8.5千·13薪,2年,苏州
物业管家（公寓/五险一金）,物业管理/商业中心,江苏安邦物业服务集团股份有限公司佛山分公司,大专,5.5-7千,2年,佛山
特肥销售大区总监,农/林/牧/渔,广西多得乐生物科技有限公司,大专,8千-1.2万,2年,南宁
服务顾问-西安灞桥保时捷,汽车,西安捷众汽车销售服务有限公司,大专,1.5-2.5万,3-4年,西安
设计师,服装/纺织/皮革,广州柳乐服饰有限公司,大专,6千-1.2万,3-4年,广州
医药推广专员（应届生优先）,制药/生物工程,丽珠医药集团股份有限公司,大专,5-7千,无需经验,大连
外贸跟单员,服装/纺织/皮革,广州可妮服饰有限公司,大专,6千-1万,3-4年,广州
机械工程师,机械/设备/重工,广州捷晟自动化控制设备有限公司,本科,1.2-2.4万,3-4年,广州
新梯销售主管,房地产,日立电梯（中国）有限公司杭州工程有限公司,大专,1.3-2.5万·13薪,3-4年,台州
仓库管理员,电子技术/半导体/集成电路,宁波粒上光电有限公司,高中,4-4.5千,2年,宁波
